id,complaint_text,category_label
818,Unexpected charges appeared on my bill,billing
819,Payment was deducted but booking not confirmed,billing
820,Housekeeping did not clean the room,cleanliness
821,Unexpected charges appeared on my bill,billing
822,Bathroom hygiene was unacceptable,cleanliness
823,The room had a bad smell,cleanliness
824,Customer service did not respond to my request,service
825,My request was ignored by the service team,service
826,Reception staff behaved unprofessionally,service
827,Refund has not been processed,billing
828,Mobile app is not loading properly,technical
829,Booking confirmation email never arrived,booking
830,Unable to access my account,technical
831,My request was ignored by the service team,service
832,The response from support was very slow,service
833,Room booking was not confirmed,booking
834,The website keeps showing server errors,technical
835,Reservation details were incorrect,booking
836,Unable to access my account,technical
837,Housekeeping did not clean the room,cleanliness
838,Room booking was not confirmed,booking
839,My request was ignored by the service team,service
840,The response from support was very slow,service
841,Refund has not been processed,billing
842,The website keeps showing server errors,technical
843,Payment was deducted but booking not confirmed,billing
844,Unexpected charges appeared on my bill,billing
845,The invoice amount is incorrect,billing
846,Unable to access my account,technical
847,Bathroom hygiene was unacceptable,cleanliness
848,My reservation disappeared from the system,booking
849,Reception staff behaved unprofessionally,service
850,The booking website crashed during payment,technical
851,My reservation disappeared from the system,booking
852,Booking confirmation email never arrived,booking
853,Mobile app is not loading properly,technical
854,My reservation disappeared from the system,booking
855,Mobile app is not loading properly,technical
856,Unexpected charges appeared on my bill,billing
857,Unexpected charges appeared on my bill,billing
858,Customer service did not respond to my request,service
859,Unexpected charges appeared on my bill,billing
860,Room booking was not confirmed,booking
861,Reservation details were incorrect,booking
862,The hotel room was not clean,cleanliness
863,I was charged twice for my reservation,billing
864,Mobile app is not loading properly,technical
865,My request was ignored by the service team,service
866,Housekeeping did not clean the room,cleanliness
867,My reservation disappeared from the system,booking
868,Mobile app is not loading properly,technical
869,The booking website crashed during payment,technical
870,The invoice amount is incorrect,billing
871,Booking confirmation email never arrived,booking
872,My reservation disappeared from the system,booking
873,Refund has not been processed,billing
874,Housekeeping did not clean the room,cleanliness
875,Payment was deducted but booking not confirmed,billing
876,Bathroom hygiene was unacceptable,cleanliness
877,The response from support was very slow,service
878,My reservation disappeared from the system,booking
879,Bedsheets were dirty,cleanliness
880,My request was ignored by the service team,service
881,Room booking was not confirmed,booking
882,Payment was deducted but booking not confirmed,billing
883,The booking website crashed during payment,technical
884,Housekeeping did not clean the room,cleanliness
885,Housekeeping did not clean the room,cleanliness
886,The hotel room was not clean,cleanliness
887,Reservation details were incorrect,booking
888,Refund has not been processed,billing
889,System error while confirming reservation,technical
890,Unexpected charges appeared on my bill,billing
891,Unexpected charges appeared on my bill,billing
892,The staff was not helpful during check-in,service
893,Bedsheets were dirty,cleanliness
894,The staff was not helpful during check-in,service
895,The website keeps showing server errors,technical
896,Mobile app is not loading properly,technical
897,Reservation details were incorrect,booking
898,Customer service did not respond to my request,service
899,Refund has not been processed,billing
900,Unexpected charges appeared on my bill,billing
901,The staff was not helpful during check-in,service
902,The staff was not helpful during check-in,service
903,System error while confirming reservation,technical
904,The room had a bad smell,cleanliness
905,The room had a bad smell,cleanliness
906,The booking website crashed during payment,technical
907,The response from support was very slow,service
908,The booking website crashed during payment,technical
909,System error while confirming reservation,technical
910,Unexpected charges appeared on my bill,billing
911,Reservation details were incorrect,booking
912,Reservation details were incorrect,booking
913,Mobile app is not loading properly,technical
914,Reservation details were incorrect,booking
915,The website keeps showing server errors,technical
916,The booking website crashed during payment,technical
917,My reservation disappeared from the system,booking
918,Booking confirmation email never arrived,booking
919,My request was ignored by the service team,service
920,System error while confirming reservation,technical
921,I was charged twice for my reservation,billing
922,System error while confirming reservation,technical
923,Unable to access my account,technical
924,The room had a bad smell,cleanliness
925,Reception staff behaved unprofessionally,service
926,Unable to access my account,technical
927,Unexpected charges appeared on my bill,billing
928,The room had a bad smell,cleanliness
929,The booking website crashed during payment,technical
930,Refund has not been processed,billing
931,The website keeps showing server errors,technical
932,The staff was not helpful during check-in,service
933,My request was ignored by the service team,service
934,My reservation disappeared from the system,booking
935,The staff was not helpful during check-in,service
936,The response from support was very slow,service
937,Unable to access my account,technical
938,The hotel room was not clean,cleanliness
939,Bathroom hygiene was unacceptable,cleanliness
940,I received the wrong booking dates,booking
941,Unable to access my account,technical
942,Payment was deducted but booking not confirmed,billing
943,My request was ignored by the service team,service
944,Unable to access my account,technical
945,System error while confirming reservation,technical
946,The staff was not helpful during check-in,service
947,The invoice amount is incorrect,billing
948,Booking confirmation email never arrived,booking
949,Booking confirmation email never arrived,booking
950,Unexpected charges appeared on my bill,billing
951,Unable to access my account,technical
952,My request was ignored by the service team,service
953,Unable to access my account,technical
954,The staff was not helpful during check-in,service
955,The staff was not helpful during check-in,service
956,Room booking was not confirmed,booking
957,My reservation disappeared from the system,booking
958,System error while confirming reservation,technical
959,Payment was deducted but booking not confirmed,billing
960,Bedsheets were dirty,cleanliness
961,Mobile app is not loading properly,technical
962,The response from support was very slow,service
963,Bathroom hygiene was unacceptable,cleanliness
964,The invoice amount is incorrect,billing
965,Customer service did not respond to my request,service
966,My reservation disappeared from the system,booking
967,The website keeps showing server errors,technical
968,Bedsheets were dirty,cleanliness
969,Booking confirmation email never arrived,booking
970,My request was ignored by the service team,service
971,I was charged twice for my reservation,billing
972,Unable to access my account,technical
973,Booking confirmation email never arrived,booking
974,Reservation details were incorrect,booking
975,The hotel room was not clean,cleanliness
976,The response from support was very slow,service
977,Refund has not been processed,billing
978,Booking confirmation email never arrived,booking
979,Mobile app is not loading properly,technical
980,Housekeeping did not clean the room,cleanliness
981,Customer service did not respond to my request,service
982,Booking confirmation email never arrived,booking
983,I was charged twice for my reservation,billing
984,Bathroom hygiene was unacceptable,cleanliness
985,Mobile app is not loading properly,technical
986,The response from support was very slow,service
987,The response from support was very slow,service
988,Bedsheets were dirty,cleanliness
989,Unexpected charges appeared on my bill,billing
990,My request was ignored by the service team,service
991,Mobile app is not loading properly,technical
992,The website keeps showing server errors,technical
993,The hotel room was not clean,cleanliness
994,Bathroom hygiene was unacceptable,cleanliness
995,Housekeeping did not clean the room,cleanliness
996,Customer service did not respond to my request,service
997,Housekeeping did not clean the room,cleanliness
998,The website keeps showing server errors,technical
999,I was charged twice for my reservation,billing
1000,I was charged twice for my reservation,billing
1001,Bedsheets were dirty,cleanliness
1002,My request was ignored by the service team,service
1003,Booking confirmation email never arrived,booking
1004,Refund has not been processed,billing
1005,Bedsheets were dirty,cleanliness
1006,Unable to access my account,technical
1007,Reception staff behaved unprofessionally,service
1008,Unable to access my account,technical
1009,I was charged twice for my reservation,billing
1010,Reception staff behaved unprofessionally,service
1011,Reservation details were incorrect,booking
1012,Room booking was not confirmed,booking
1013,The website keeps showing server errors,technical
1014,The response from support was very slow,service
1015,System error while confirming reservation,technical
1016,Room booking was not confirmed,booking
1017,The website keeps showing server errors,technical
1018,The hotel room was not clean,cleanliness
1019,Mobile app is not loading properly,technical
1020,My reservation disappeared from the system,booking
1021,Unable to access my account,technical
1022,Customer service did not respond to my request,service
1023,I was charged twice for my reservation,billing
1024,Unable to access my account,technical
1025,The room had a bad smell,cleanliness
1026,Customer service did not respond to my request,service
1027,The website keeps showing server errors,technical
1028,Mobile app is not loading properly,technical
1029,Reception staff behaved unprofessionally,service
1030,The room had a bad smell,cleanliness
1031,I received the wrong booking dates,booking
1032,My reservation disappeared from the system,booking
1033,Refund has not been processed,billing
1034,The room had a bad smell,cleanliness
1035,Customer service did not respond to my request,service
1036,Bedsheets were dirty,cleanliness
1037,I was charged twice for my reservation,billing
1038,Unable to access my account,technical
1039,The room had a bad smell,cleanliness
1040,The website keeps showing server errors,technical
1041,I was charged twice for my reservation,billing
1042,Room booking was not confirmed,booking
1043,System error while confirming reservation,technical
1044,I received the wrong booking dates,booking
1045,Refund has not been processed,billing
1046,Payment was deducted but booking not confirmed,billing
1047,Bathroom hygiene was unacceptable,cleanliness
1048,The website keeps showing server errors,technical
1049,The booking website crashed during payment,technical
1050,Booking confirmation email never arrived,booking
1051,Booking confirmation email never arrived,booking
1052,The website keeps showing server errors,technical
1053,The hotel room was not clean,cleanliness
1054,The staff was not helpful during check-in,service
1055,I received the wrong booking dates,booking
1056,The website keeps showing server errors,technical
1057,Mobile app is not loading properly,technical
1058,My request was ignored by the service team,service
1059,The room had a bad smell,cleanliness
1060,The hotel room was not clean,cleanliness
1061,I was charged twice for my reservation,billing
1062,The response from support was very slow,service
1063,Booking confirmation email never arrived,booking
1064,Room booking was not confirmed,booking
1065,Housekeeping did not clean the room,cleanliness
1066,The response from support was very slow,service
1067,Bedsheets were dirty,cleanliness
1068,Reception staff behaved unprofessionally,service
1069,Bedsheets were dirty,cleanliness
1070,Bedsheets were dirty,cleanliness
1071,Housekeeping did not clean the room,cleanliness
1072,The room had a bad smell,cleanliness
1073,Bedsheets were dirty,cleanliness
1074,My reservation disappeared from the system,booking
1075,System error while confirming reservation,technical
1076,Refund has not been processed,billing
1077,Bedsheets were dirty,cleanliness
1078,Payment was deducted but booking not confirmed,billing
1079,I received the wrong booking dates,booking
1080,Housekeeping did not clean the room,cleanliness
1081,The staff was not helpful during check-in,service
1082,The room had a bad smell,cleanliness
1083,My request was ignored by the service team,service
1084,The room had a bad smell,cleanliness
1085,Customer service did not respond to my request,service
1086,Payment was deducted but booking not confirmed,billing
1087,The invoice amount is incorrect,billing
1088,Refund has not been processed,billing
1089,Unable to access my account,technical
1090,Reception staff behaved unprofessionally,service
1091,Reception staff behaved unprofessionally,service
1092,Housekeeping did not clean the room,cleanliness
1093,My reservation disappeared from the system,booking
1094,My request was ignored by the service team,service
1095,My request was ignored by the service team,service
1096,Unable to access my account,technical
1097,The room had a bad smell,cleanliness
1098,Mobile app is not loading properly,technical
1099,Booking confirmation email never arrived,booking
1100,The website keeps showing server errors,technical
1101,System error while confirming reservation,technical
1102,The room had a bad smell,cleanliness
1103,Customer service did not respond to my request,service
1104,The website keeps showing server errors,technical
1105,Mobile app is not loading properly,technical
1106,System error while confirming reservation,technical
1107,Reception staff behaved unprofessionally,service
1108,Unable to access my account,technical
1109,The website keeps showing server errors,technical
1110,System error while confirming reservation,technical
1111,Payment was deducted but booking not confirmed,billing
1112,The room had a bad smell,cleanliness
1113,I received the wrong booking dates,booking
1114,The response from support was very slow,service
1115,Unexpected charges appeared on my bill,billing
1116,Unexpected charges appeared on my bill,billing
1117,I received the wrong booking dates,booking
1118,Room booking was not confirmed,booking
1119,My request was ignored by the service team,service
1120,The website keeps showing server errors,technical
1121,Mobile app is not loading properly,technical
1122,Payment was deducted but booking not confirmed,billing
1123,Bathroom hygiene was unacceptable,cleanliness
1124,The staff was not helpful during check-in,service
1125,Bathroom hygiene was unacceptable,cleanliness
1126,The staff was not helpful during check-in,service
1127,Refund has not been processed,billing
1128,Unable to access my account,technical
1129,The invoice amount is incorrect,billing
1130,Payment was deducted but booking not confirmed,billing
1131,Reception staff behaved unprofessionally,service
1132,Reservation details were incorrect,booking
1133,The response from support was very slow,service
1134,System error while confirming reservation,technical
1135,I was charged twice for my reservation,billing
1136,Bathroom hygiene was unacceptable,cleanliness
1137,The hotel room was not clean,cleanliness
1138,Reception staff behaved unprofessionally,service
1139,The staff was not helpful during check-in,service
1140,Reservation details were incorrect,booking
1141,The response from support was very slow,service
1142,I was charged twice for my reservation,billing
1143,The website keeps showing server errors,technical
1144,The hotel room was not clean,cleanliness
1145,System error while confirming reservation,technical
1146,Booking confirmation email never arrived,booking
1147,The room had a bad smell,cleanliness
1148,My request was ignored by the service team,service
1149,I received the wrong booking dates,booking
1150,The staff was not helpful during check-in,service
1151,Mobile app is not loading properly,technical
1152,I received the wrong booking dates,booking
1153,The staff was not helpful during check-in,service
1154,System error while confirming reservation,technical
1155,Bathroom hygiene was unacceptable,cleanliness
1156,My request was ignored by the service team,service
1157,Reservation details were incorrect,booking
1158,Bedsheets were dirty,cleanliness
1159,Refund has not been processed,billing
1160,The invoice amount is incorrect,billing
1161,Reception staff behaved unprofessionally,service
1162,Mobile app is not loading properly,technical
1163,Unexpected charges appeared on my bill,billing
1164,Room booking was not confirmed,booking
1165,I received the wrong booking dates,booking
1166,System error while confirming reservation,technical
1167,Housekeeping did not clean the room,cleanliness
1168,Unexpected charges appeared on my bill,billing
1169,Mobile app is not loading properly,technical
1170,I was charged twice for my reservation,billing
1171,I received the wrong booking dates,booking
1172,Reception staff behaved unprofessionally,service
1173,Bedsheets were dirty,cleanliness
1174,Unexpected charges appeared on my bill,billing
1175,The website keeps showing server errors,technical
1176,Customer service did not respond to my request,service
1177,Reception staff behaved unprofessionally,service
1178,Reception staff behaved unprofessionally,service
1179,Bedsheets were dirty,cleanliness
1180,Booking confirmation email never arrived,booking
1181,Booking confirmation email never arrived,booking
1182,Customer service did not respond to my request,service
1183,The hotel room was not clean,cleanliness
1184,The room had a bad smell,cleanliness
1185,Bedsheets were dirty,cleanliness
1186,Payment was deducted but booking not confirmed,billing
1187,I was charged twice for my reservation,billing
1188,Housekeeping did not clean the room,cleanliness
1189,My request was ignored by the service team,service
1190,Bathroom hygiene was unacceptable,cleanliness
1191,The response from support was very slow,service
1192,The room had a bad smell,cleanliness
1193,The invoice amount is incorrect,billing
1194,The room had a bad smell,cleanliness
1195,Payment was deducted but booking not confirmed,billing
1196,My reservation disappeared from the system,booking
1197,Room booking was not confirmed,booking
1198,The room had a bad smell,cleanliness
1199,Booking confirmation email never arrived,booking
1200,Payment was deducted but booking not confirmed,billing
1201,I received the wrong booking dates,booking
1202,Refund has not been processed,billing
1203,The booking website crashed during payment,technical
1204,My request was ignored by the service team,service
1205,I was charged twice for my reservation,billing
1206,I received the wrong booking dates,booking
1207,Payment was deducted but booking not confirmed,billing
1208,I was charged twice for my reservation,billing
1209,My reservation disappeared from the system,booking
1210,Unable to access my account,technical
1211,Customer service did not respond to my request,service
1212,I received the wrong booking dates,booking
1213,Reservation details were incorrect,booking
1214,Reservation details were incorrect,booking
1215,Payment was deducted but booking not confirmed,billing
1216,The response from support was very slow,service
1217,The invoice amount is incorrect,billing
1218,The room had a bad smell,cleanliness
1219,Bathroom hygiene was unacceptable,cleanliness
1220,The staff was not helpful during check-in,service
1221,Unexpected charges appeared on my bill,billing
1222,Booking confirmation email never arrived,booking
1223,Booking confirmation email never arrived,booking
1224,Room booking was not confirmed,booking
1225,Reception staff behaved unprofessionally,service
1226,Mobile app is not loading properly,technical
1227,Mobile app is not loading properly,technical
1228,I was charged twice for my reservation,billing
1229,Booking confirmation email never arrived,booking
1230,The invoice amount is incorrect,billing
1231,The staff was not helpful during check-in,service
1232,Payment was deducted but booking not confirmed,billing
1233,Refund has not been processed,billing
1234,The hotel room was not clean,cleanliness
1235,The staff was not helpful during check-in,service
1236,Reservation details were incorrect,booking
1237,My request was ignored by the service team,service
1238,The staff was not helpful during check-in,service
1239,My request was ignored by the service team,service
1240,Mobile app is not loading properly,technical
1241,Bedsheets were dirty,cleanliness
1242,Housekeeping did not clean the room,cleanliness
1243,Mobile app is not loading properly,technical
1244,Mobile app is not loading properly,technical
1245,Bathroom hygiene was unacceptable,cleanliness
1246,I received the wrong booking dates,booking
1247,The booking website crashed during payment,technical
1248,Housekeeping did not clean the room,cleanliness
1249,Reception staff behaved unprofessionally,service
1250,The room had a bad smell,cleanliness
1251,Unexpected charges appeared on my bill,billing
1252,Booking confirmation email never arrived,booking
1253,Unable to access my account,technical
1254,Room booking was not confirmed,booking
1255,Unable to access my account,technical
1256,My request was ignored by the service team,service
1257,Room booking was not confirmed,booking
1258,The response from support was very slow,service
1259,Reception staff behaved unprofessionally,service
1260,Payment was deducted but booking not confirmed,billing
1261,Reservation details were incorrect,booking
1262,Housekeeping did not clean the room,cleanliness
1263,Reception staff behaved unprofessionally,service
1264,The response from support was very slow,service
1265,The response from support was very slow,service
1266,Refund has not been processed,billing
1267,The booking website crashed during payment,technical
1268,Bathroom hygiene was unacceptable,cleanliness
1269,Unexpected charges appeared on my bill,billing
1270,Booking confirmation email never arrived,booking
1271,The hotel room was not clean,cleanliness
1272,The invoice amount is incorrect,billing
1273,Housekeeping did not clean the room,cleanliness
1274,Reception staff behaved unprofessionally,service
1275,The response from support was very slow,service
1276,The booking website crashed during payment,technical
1277,Customer service did not respond to my request,service
1278,Refund has not been processed,billing
1279,My request was ignored by the service team,service
1280,Reception staff behaved unprofessionally,service
1281,My request was ignored by the service team,service
1282,System error while confirming reservation,technical
1283,Reservation details were incorrect,booking
1284,Bedsheets were dirty,cleanliness
1285,System error while confirming reservation,technical
1286,The website keeps showing server errors,technical
1287,Reservation details were incorrect,booking
1288,Refund has not been processed,billing
1289,Mobile app is not loading properly,technical
1290,System error while confirming reservation,technical
1291,My reservation disappeared from the system,booking
1292,Bathroom hygiene was unacceptable,cleanliness
1293,The staff was not helpful during check-in,service
1294,The website keeps showing server errors,technical
1295,Housekeeping did not clean the room,cleanliness
1296,I received the wrong booking dates,booking
1297,Customer service did not respond to my request,service
1298,Mobile app is not loading properly,technical
1299,Booking confirmation email never arrived,booking
1300,Reception staff behaved unprofessionally,service
1301,Bedsheets were dirty,cleanliness
1302,Unable to access my account,technical
1303,Reservation details were incorrect,booking
1304,The response from support was very slow,service
1305,Customer service did not respond to my request,service
1306,The room had a bad smell,cleanliness
1307,My request was ignored by the service team,service
1308,Payment was deducted but booking not confirmed,billing
1309,I was charged twice for my reservation,billing
1310,I was charged twice for my reservation,billing
1311,Room booking was not confirmed,booking
1312,The staff was not helpful during check-in,service
1313,The staff was not helpful during check-in,service
1314,My request was ignored by the service team,service
1315,I received the wrong booking dates,booking
1316,Payment was deducted but booking not confirmed,billing
1317,The room had a bad smell,cleanliness
1318,My reservation disappeared from the system,booking
1319,Payment was deducted but booking not confirmed,billing
1320,The room had a bad smell,cleanliness
1321,I was charged twice for my reservation,billing
1322,Bedsheets were dirty,cleanliness
1323,Bedsheets were dirty,cleanliness
1324,Payment was deducted but booking not confirmed,billing
1325,Room booking was not confirmed,booking
1326,I was charged twice for my reservation,billing
1327,Bathroom hygiene was unacceptable,cleanliness
1328,Customer service did not respond to my request,service
1329,Housekeeping did not clean the room,cleanliness
1330,System error while confirming reservation,technical
1331,Unable to access my account,technical
1332,Unexpected charges appeared on my bill,billing
1333,Reservation details were incorrect,booking
1334,Bathroom hygiene was unacceptable,cleanliness
1335,The response from support was very slow,service
1336,I was charged twice for my reservation,billing
1337,Refund has not been processed,billing
1338,Reservation details were incorrect,booking
1339,The room had a bad smell,cleanliness
1340,I was charged twice for my reservation,billing
1341,The staff was not helpful during check-in,service
1342,Reservation details were incorrect,booking
1343,The website keeps showing server errors,technical
1344,Payment was deducted but booking not confirmed,billing
1345,The invoice amount is incorrect,billing
1346,My request was ignored by the service team,service
1347,I received the wrong booking dates,booking
1348,I was charged twice for my reservation,billing
1349,The website keeps showing server errors,technical
1350,The hotel room was not clean,cleanliness
1351,The response from support was very slow,service
1352,The invoice amount is incorrect,billing
1353,Bathroom hygiene was unacceptable,cleanliness
1354,My reservation disappeared from the system,booking
1355,Mobile app is not loading properly,technical
1356,Bathroom hygiene was unacceptable,cleanliness
1357,The room had a bad smell,cleanliness
1358,Bedsheets were dirty,cleanliness
1359,Room booking was not confirmed,booking
1360,Payment was deducted but booking not confirmed,billing
1361,The booking website crashed during payment,technical
1362,Refund has not been processed,billing
1363,The staff was not helpful during check-in,service
1364,The website keeps showing server errors,technical
1365,Housekeeping did not clean the room,cleanliness
1366,I received the wrong booking dates,booking
1367,Unexpected charges appeared on my bill,billing
1368,Reservation details were incorrect,booking
1369,The response from support was very slow,service
1370,The room had a bad smell,cleanliness
1371,Room booking was not confirmed,booking
1372,The room had a bad smell,cleanliness
1373,Payment was deducted but booking not confirmed,billing
1374,Mobile app is not loading properly,technical
1375,I was charged twice for my reservation,billing
1376,Mobile app is not loading properly,technical
1377,Room booking was not confirmed,booking
1378,I received the wrong booking dates,booking
1379,The booking website crashed during payment,technical
1380,I was charged twice for my reservation,billing
1381,Unable to access my account,technical
1382,System error while confirming reservation,technical
1383,The invoice amount is incorrect,billing
1384,The invoice amount is incorrect,billing
1385,Reservation details were incorrect,booking
1386,Housekeeping did not clean the room,cleanliness
1387,The room had a bad smell,cleanliness
1388,I was charged twice for my reservation,billing
1389,Unexpected charges appeared on my bill,billing
1390,The hotel room was not clean,cleanliness
1391,Housekeeping did not clean the room,cleanliness
1392,Unable to access my account,technical
1393,Unexpected charges appeared on my bill,billing
1394,Reservation details were incorrect,booking
1395,Payment was deducted but booking not confirmed,billing
1396,My request was ignored by the service team,service
1397,Bathroom hygiene was unacceptable,cleanliness
1398,Room booking was not confirmed,booking
1399,The response from support was very slow,service
1400,System error while confirming reservation,technical
1401,Room booking was not confirmed,booking
1402,The invoice amount is incorrect,billing
1403,I received the wrong booking dates,booking
1404,I received the wrong booking dates,booking
1405,My reservation disappeared from the system,booking
1406,System error while confirming reservation,technical
1407,Reception staff behaved unprofessionally,service
1408,Housekeeping did not clean the room,cleanliness
1409,Reception staff behaved unprofessionally,service
1410,The invoice amount is incorrect,billing
1411,The booking website crashed during payment,technical
1412,I received the wrong booking dates,booking
1413,The room had a bad smell,cleanliness
1414,Unable to access my account,technical
1415,Unable to access my account,technical
1416,Bathroom hygiene was unacceptable,cleanliness
1417,System error while confirming reservation,technical
1418,Bathroom hygiene was unacceptable,cleanliness
1419,I received the wrong booking dates,booking
1420,Reception staff behaved unprofessionally,service
1421,System error while confirming reservation,technical
1422,Booking confirmation email never arrived,booking
1423,The response from support was very slow,service
1424,I received the wrong booking dates,booking
1425,I received the wrong booking dates,booking
1426,Payment was deducted but booking not confirmed,billing
1427,My request was ignored by the service team,service
1428,Bathroom hygiene was unacceptable,cleanliness
1429,The hotel room was not clean,cleanliness
1430,Room booking was not confirmed,booking
1431,I received the wrong booking dates,booking
1432,Refund has not been processed,billing
1433,Room booking was not confirmed,booking
1434,Mobile app is not loading properly,technical
1435,Mobile app is not loading properly,technical
1436,Reservation details were incorrect,booking
1437,Refund has not been processed,billing
1438,The room had a bad smell,cleanliness
1439,The room had a bad smell,cleanliness
1440,Housekeeping did not clean the room,cleanliness
1441,Booking confirmation email never arrived,booking
1442,Unexpected charges appeared on my bill,billing
1443,Housekeeping did not clean the room,cleanliness
1444,I was charged twice for my reservation,billing
1445,The response from support was very slow,service
1446,My request was ignored by the service team,service
1447,Payment was deducted but booking not confirmed,billing
1448,I received the wrong booking dates,booking
1449,My reservation disappeared from the system,booking
1450,I was charged twice for my reservation,billing
1451,Mobile app is not loading properly,technical
1452,Housekeeping did not clean the room,cleanliness
1453,Housekeeping did not clean the room,cleanliness
1454,Bathroom hygiene was unacceptable,cleanliness
1455,I received the wrong booking dates,booking
1456,Reservation details were incorrect,booking
1457,Housekeeping did not clean the room,cleanliness
1458,The response from support was very slow,service
1459,Refund has not been processed,billing
1460,Unexpected charges appeared on my bill,billing
1461,My reservation disappeared from the system,booking
1462,The invoice amount is incorrect,billing
1463,System error while confirming reservation,technical
1464,Unable to access my account,technical
1465,My request was ignored by the service team,service
1466,I received the wrong booking dates,booking
1467,My reservation disappeared from the system,booking
1468,Reservation details were incorrect,booking
1469,The booking website crashed during payment,technical
1470,The booking website crashed during payment,technical
1471,I was charged twice for my reservation,billing
1472,The booking website crashed during payment,technical
1473,Customer service did not respond to my request,service
1474,Bathroom hygiene was unacceptable,cleanliness
1475,Bathroom hygiene was unacceptable,cleanliness
1476,The website keeps showing server errors,technical
1477,Reservation details were incorrect,booking
1478,Reception staff behaved unprofessionally,service
1479,Customer service did not respond to my request,service
1480,Reservation details were incorrect,booking
1481,Payment was deducted but booking not confirmed,billing
1482,Reception staff behaved unprofessionally,service
1483,The room had a bad smell,cleanliness
1484,My reservation disappeared from the system,booking
1485,Customer service did not respond to my request,service
1486,The booking website crashed during payment,technical
1487,The hotel room was not clean,cleanliness
1488,Bathroom hygiene was unacceptable,cleanliness
1489,System error while confirming reservation,technical
1490,Reception staff behaved unprofessionally,service
1491,Unexpected charges appeared on my bill,billing
1492,Booking confirmation email never arrived,booking
1493,The website keeps showing server errors,technical
1494,Booking confirmation email never arrived,booking
1495,Booking confirmation email never arrived,booking
1496,Unexpected charges appeared on my bill,billing
1497,Unable to access my account,technical
1498,Bathroom hygiene was unacceptable,cleanliness
1499,The website keeps showing server errors,technical
1500,The hotel room was not clean,cleanliness
1501,The response from support was very slow,service
1502,The invoice amount is incorrect,billing
1503,The booking website crashed during payment,technical
1504,The response from support was very slow,service
1505,My request was ignored by the service team,service
1506,Reservation details were incorrect,booking
1507,Bathroom hygiene was unacceptable,cleanliness
1508,The room had a bad smell,cleanliness
1509,Room booking was not confirmed,booking
1510,Booking confirmation email never arrived,booking
1511,My request was ignored by the service team,service
1512,Reception staff behaved unprofessionally,service
1513,Mobile app is not loading properly,technical
1514,The response from support was very slow,service
1515,Booking confirmation email never arrived,booking
1516,Unexpected charges appeared on my bill,billing
1517,Refund has not been processed,billing
1518,Customer service did not respond to my request,service
1519,Booking confirmation email never arrived,booking
1520,The room had a bad smell,cleanliness
1521,Reservation details were incorrect,booking
1522,Reservation details were incorrect,booking
1523,Room booking was not confirmed,booking
1524,Payment was deducted but booking not confirmed,billing
1525,The invoice amount is incorrect,billing
1526,The booking website crashed during payment,technical
1527,Mobile app is not loading properly,technical
1528,Bedsheets were dirty,cleanliness
1529,Reception staff behaved unprofessionally,service
1530,The room had a bad smell,cleanliness
1531,Housekeeping did not clean the room,cleanliness
1532,Payment was deducted but booking not confirmed,billing
1533,Unexpected charges appeared on my bill,billing
1534,Bedsheets were dirty,cleanliness
1535,The hotel room was not clean,cleanliness
1536,Booking confirmation email never arrived,booking
1537,Reception staff behaved unprofessionally,service
1538,The invoice amount is incorrect,billing
1539,The booking website crashed during payment,technical
1540,I received the wrong booking dates,booking
1541,The booking website crashed during payment,technical
1542,My reservation disappeared from the system,booking
1543,Customer service did not respond to my request,service
1544,Bedsheets were dirty,cleanliness
1545,The room had a bad smell,cleanliness
1546,My request was ignored by the service team,service
1547,Customer service did not respond to my request,service
1548,The staff was not helpful during check-in,service
1549,Bedsheets were dirty,cleanliness
1550,Bedsheets were dirty,cleanliness
1551,Housekeeping did not clean the room,cleanliness
1552,The response from support was very slow,service
1553,System error while confirming reservation,technical
1554,Bedsheets were dirty,cleanliness
1555,The hotel room was not clean,cleanliness
1556,Reception staff behaved unprofessionally,service
1557,Unexpected charges appeared on my bill,billing
1558,Customer service did not respond to my request,service
1559,Customer service did not respond to my request,service
1560,Mobile app is not loading properly,technical
1561,Reservation details were incorrect,booking
1562,My request was ignored by the service team,service
1563,Unable to access my account,technical
1564,Reservation details were incorrect,booking
1565,I was charged twice for my reservation,billing
1566,Booking confirmation email never arrived,booking
1567,System error while confirming reservation,technical
1568,Reservation details were incorrect,booking
1569,The website keeps showing server errors,technical
1570,I was charged twice for my reservation,billing
1571,I received the wrong booking dates,booking
1572,Payment was deducted but booking not confirmed,billing
1573,Room booking was not confirmed,booking
1574,Room booking was not confirmed,booking
1575,I received the wrong booking dates,booking
1576,System error while confirming reservation,technical
1577,The website keeps showing server errors,technical
1578,Bathroom hygiene was unacceptable,cleanliness
1579,The room had a bad smell,cleanliness
1580,The booking website crashed during payment,technical
1581,I was charged twice for my reservation,billing
1582,My reservation disappeared from the system,booking
1583,The invoice amount is incorrect,billing
1584,Reservation details were incorrect,booking
1585,Refund has not been processed,billing
1586,Customer service did not respond to my request,service
1587,Mobile app is not loading properly,technical
1588,The booking website crashed during payment,technical
1589,System error while confirming reservation,technical
1590,Unexpected charges appeared on my bill,billing
1591,The staff was not helpful during check-in,service
1592,I received the wrong booking dates,booking
1593,Reception staff behaved unprofessionally,service
1594,I was charged twice for my reservation,billing
1595,The invoice amount is incorrect,billing
1596,My reservation disappeared from the system,booking
1597,My request was ignored by the service team,service
1598,My request was ignored by the service team,service
